"filename", "language", "JSON with Comments", "JSON", "Markdown", "pip requirements", "TypeScript", "JavaScript", "Shell Script", "comment", "blank", "total"
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\lot-location\lot-location.controller.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 3, 5, 26
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\lot-location\lot-location.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\lot-location\lot-location.service.ts", "TypeScript", 0, 0, 0, 0, 283, 0, 0, 86, 104, 473
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\lot\dto\lot.dto.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 3, 3, 17
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\lot\entities\lot.entity.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 16, 26, 86
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\lot\lot.controller.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 13, 49
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\lot\lot.module.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\lot\lot.service.ts", "TypeScript", 0, 0, 0, 0, 118, 0, 0, 84, 62, 264
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\lot\utils\lotCode.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\rack\dto\rack.dto.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\rack\entities\rack.entity.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 14, 49
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\rack\entities\rack_status.enum.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\rack\rack.controller.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 1, 14, 42
